"id","a","b"
"bacarai","bercerai"
"bacaramah","berceramah"
"bacarito","bercerita"
"baco","baca"
"bada","badar"
"badabah","biawak"
"badabua","berdebur"
"badah","bedah"
"badai","badai"
"badai tunja","prahara"
"badak","badak bedak"
"badakaikan","berdekatan"
"badakekan","berdampingan"
"badan","badan"
"badangiang","berdesing"
"badanguang","berdengung"
"badantam","berdentam"
"badanyuik","berdenyut"
"badarah","berdarah"
"badarai","berderai"
"badarak","berderak"
"badarap","berderap"
"badariang","berdering"
"badasi","berdasi"
"badatak","berdetak"
"badatiak","berdetik"
"badaulaik","berdaulat"
"badayo","berdaya"
"badayuang","berkayuh"
"badebaik","berdebat"
"badia","bedil"
"badia-badia","mercon"
"badindiang","berdinding"
"badirik","berbanjar berjajar"
"badoso","berdosa"
"badukocito","belasungkawa"
"badunsanak","bekeluarga"
"badut","badut"
"bagabuang","bergabung"
"bagadiang","bergading"
"bagaduntun","beruntun"
"bagageh","bergegas"
"bagai","bagai"
"bagajolak","bergejolak"
"bagak","galak"
"bagala","bergelar"
"bagalimpangan","bergelimpangan"
"bagaloang","menggelinding"
"bagalombang","bergelombang"
"bagalora","bergelora"
"bagaluang","bergelung"
"bagaluik","bergelut"
"bagambar","bergambar"
"bagandak","bermain asmara berpacaran"
"bagandang","bergendang"
"bagandiang","bergandeng"
"baganti","berganti"
"bagantung","bergantung"
"baganyi","minggat ngambeg"
"bagarah","bercanda bergurau"
"bagaua","bergaul"
"bagauang","bergaung"
"bagayuik","bergayut"
"bagenjek","berjinjit"
"bagi","bagi"
"bagilia","bergilir"
"bagindo","baginda"
"bagobah","berkubah"
"baguak","melinjo"
"bagulaik","bergulat"
"baguliang","berguling"
"baguluang","bergulung"
"bagumpa","bergumpal"
"baguncang","berguncang"
"bagunjiang","bergunjing"
"baguno","berguna"
"bagurambeh","bercambang"
"baguranbeh","berjambang"
"baguriah","bergaris"
"baguru","berguru"
"bahadaih","berhadas"
"bahadiah","berhadiah"
"bahaluan","berhaluan"
"bahan","bahan materi"
"bahao","beriklim"
"bahasa","bahaso"
"bahaso","bahwa"
"bahayo","bahaya"
"bahikayaik","berhikayat"
"bahu","bahu"
"bahubungan","berhubungan"
"baia","bayar"
"baiak","baik"
"baibadaik","beribadat"
"baikara","berikrar bernazar"
"bailimu","berilmu"
"baimbang","berbanding"
"baimpik","berimpit"
"bainduak","beribu"
"baingsuik","beringsut"
"bairiang","berarak beriring"
"baitu","begitu demikian"
"baja","baja"
"bajabaik","berjabat"
"bajago","berjaga"
"bajambua","berjabul"
"bajamua","berjemur"
"bajangguik","berjanggut"
"bajarak","berjarak"
"bajaso","berjasa"
"baji","baji"
"bajiang","bajing"
"bajihaik","berjihat"
"bajikia","berzkir"
"bajingkek","berjingkat"
"bajirawek","berjerawat"
"baju","baju"
"bajubah","berjubah"
"bajuntai","berjuntai"
"bak","bak laksana"
"baka","bakar"
"bakabuang","berkabung"
"bakabuik","berkabut"
"bakacak","berkacak"
"bakacambah","berkecambah"
"bakacamuak","berkecamuk"
"bakacimpuang","berkecimpung"
"bakaco","berkaca"
"bakaik","bakat"
"bakain saruang","bersarung"
"bakait","berkait"
"bakakak","berkakak"
"bakalaso","berkelasa"
"bakaliaran","gentayangan"
"bakaluak","berkeluk"
"bakambang","berkembang"
"bakameh","berkemas"
"bakameja","berkemeja"
"bakapanjangan","berkepanjangan"
"bakarak","berkerak"
"bakarek","berkarat"
"bakareta","berkereta"
"bakarih","berkeris"
"bakarubuang","berkerubung"
"bakasam","sentimen"
"bakasua","berkasur"
"bakato","berkata"
"bakauih","berkaus"
"bakawan","berteman"
"bakeh","bekas kepada"
"bakelok","berliku"
"bakemah","berkemah"
"baki","baki"
"bakianaik","berkhianat"
"bakibar","berkibar"
"bakicau","berkicau"
"bakikih","enyah"
"bakilek","gemerlapan mengkilap"
"bakipeh","berkipas"
"bakisa","berkisar"
"bakomploik","berkomplot"
"bakonsi","bersahabat"
"bakso","bakso"
"bakti","bakti"
"baku","beku"
"bakua","bakul"
"bakuah","berkuah"
"bakuang","bakung"
"bakuaso","berkuasa"
"bakubang","berkubang"
"bakucatak","gegap gempita"
"bakumandang","berkumandang"
"bakumpua","berkumpul"
"bakumua","berkumur"
"bakutiak","berkutik"
"bala","bala"
"balabeh","belebas"
"balabiah","berlebih"
"balabuah","berlabuh"
"balago","berlaga"
"balah","belah"
"balainan","berlainan"
"balairuang","aula"
"balakang","belakang"
"balaku","berlaku"
"balakuak","berlakuk"
"balalu","berlalu"
"balanak","belanak"
"balando","belanda"
"balang","belang loreng"
"balangau","berlalat"
"balanggu","belenggu borgol"
"balangko","belangko blangko formulir"
"balango","belanga"
"balangsuang","berlangsung"
"balanjo","belanja"
"balanjuik","beranjut"
"balantaro","belantara"
"balanyah","becek"
"balapih","berlapis"
"balasia","berdesir"
"balaso","berlaksa"
"balati","belati"
"balatiah","berlatih"
"balauak","berlauk"
"baledang","beledang"
"baleh","balas belas"
"balerang","belerang"
"bali","beli"
"balia","balig"
"balia baraka","akil balig"
"baliak","balik pulang"
"baliang","baling"
"baliau","beliau"
"balibih","belibis"
"balidah","berlidah"
"balikek","belikat"
"balimau","keramas"
"balimbiang","belimbing"
"balinang","berlinang"
"balinduang","berlindung"
"balipek","berlipat"
"balirik","berderet berjejer"
"baliung","beliung"
"balkon","balkon"
"balokir","blokir"
"baluak","beluk"
"baluik","balut belut"
"balulang","belulang"
"baluluak","berlumpur"
"balumua","berlumur"
"balumuik","berlumut"
"balutuik","berlutut"
"bamain","bermain"
"bamandia","melamun"
"bamanuang","bermenung"
"bamerek","bermerek"
"bamimpi","bermimpi"
"baminaik","berminat"
"baminyak","berminya"
"bamukasuik","bermaksud"
"bamusuahan","berseteru"
"bamutu","bermutu"
"ban","ban"
"bana","benar nian"
"banam","benam jeblos"
"banamo","bernama"
"bananah","bernanah"
"banang","benang"
"bancah","bencah"
"bancano","bencana malapetaka petaka"
"banci","benci"
"banda","bandar selokan selokan"
"bandahara","bendahara"
"bandera","bendera"
"bandiang","banding padan"
"bandik","bandit"
"bando","benda"
"bandua","bandul"
"banduang","bandung"
"bangih","bengis"
"bangkai","bangkai"
"bangkak","bengkak"
"bangkalai","bengkalai"
"bangkawan","bengkawan"
"bangkik","bangkit kumat"
"bangkikdalang","histeris"
"bangku","bangku"
"bangun","bangun"
"baniago","berniaga"
"baniah","benih"
"baniaik","berhajat berniat"
"baniang","bening"
"bank","bank"
"bansaik","bokek fakir"
"bansi","bangsi"
"banta","bantal bentar"
"bantah","sangkal sangkal"
"bantang","bentang"
"bantiang","banting"
"bantu","bantu"
"bantuak","bentuk"
"banua","benua"
"bao","bawa"
"baoyak","bergoyang"
"bapailah","pamit"
"bapaliang","berpaling"
"bapaluah","berkeringat"
"bapaluik","berpalut"
"bapaneh","berpanas"
"bapangaruah","berpengaruh"
"baparam","berperam"
"bapatualang","mengembara"
"bapayuang","berpayung"
"bapindah","berpindah"
"bapisah","berpisah"
"bapitaruah","menumpangkan"
"bapitih","berduit"
"bapulun","bergumul"
"baputa","berbaling berbelit berputar"
"bara","berapa"
"barabuik","berebut"
"barado","berada"
"baradu","beradu"
"baragam","beragam"
"baraia","berair"
"baraja","belajar"
"barajuik","berajut"
"baraka","berakal"
"barakaik","berkah berokat restu"
"barakik","berakit"
"baramulo","bermula"
"baranang","berenang"
"barandam","berendam"
"barando","beranda emper"
"barang","barang"
"barangkek","berangkat"
"barani","berani perkasa"
"baranti","berhenti"
"barasa","berasal"
"barasiah","bersih"
"bareh","beras"
"barek","berat"
"barendi","brendi"
"barhalo","berhala"
"bari","beri"
"bariak","beriak"
"bariang","baring"
"barih","baris"
"barikuik","berikut"
"barikuiknyo","berikutnya"
"baringin","beringin"
"barisi","berisi"
"barisuak","besok"
"barito","berita"
"barlian","berlian"
"baro","arang bara"
"barobak","gerbong"
"baronjoang","beronjong"
"barontak","berontak"
"baru","baru"
"baruah","bawah"
"baruak","beruk"
"baruik","barut usap"
"barundiang","berunding"
"baruntun","beruntun"
"barupo","berupa"
"basadiah","berduka"
"basadio","bersedia"
"basahajo","bersahaja"
"basaiang","bersaing"
"basajarah","bersejarah"
"basakutu","bersekutu"
"basalingkuah","berselingkuh"
"basalisiah","berselisih"
"basamayam","bersemayam"
"basamba","bersambal"
"basambuang","bersambung"
"basamo","bersama"
"basamuik","bersemut"
"basanam","bersenam"
"basanda","bersandar"
"basandi","bersendi"
"basandiang","bersanding"
"basangkutan","bersangkutan"
"basantap","bersantap"
"basaru","berseru"
"basegeh","berdandan"
"baserak","berserak"
"baserak-serak","berceceran bertebaran"
"basi","besi kadaluarsa"
"basiasek","bersiasat"
"basikap","bersikap"
"basikola","bersekolah"
"basilang","bersilang"
"basilek","bersilat"
"basimbah","bersimbah"
"basimpuah","bersimpuh"
"basin","bersin"
"basinjato","bersenjata"
"basipongang","bergema"
"basisiak","bersisik"
"baso","basa"
"basuah","basuh cuci"
"basuang","basung"
"basuaro","bersuara"
"basubang","bersubang"
"basuik","bersit"
"basujuik","bersujud"
"basuko","bersuka"
"basukur","bersyukur"
"basulam","bersulam"
"basumpah","bersumpah"
"basungguah","bersungguh"
